Roll;ID;Namn;Specialisering;Kapacitet_proj;Händelsemotstand;Lön_Mkr_per_kv;Förhandling;Not;fill_color;line_color;@bild;ordning_bild;ordning_text
FC;FC-1;Anna Lindqvist;Bostäder;3;Vattenläcka, Hyrestvister;0,4;D4;Senior bostadschef, stark på hyresgäststyrning;#3D5A6B;#778899;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Fastighetschef Bostäder.png;1;4
FC;FC-2;Erik Johansson;Kommersiellt;3;Vakans, Kontraktsförlust;0,5;D6;Erfaren inom handel & kontor;#3D5A6B;#778899;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Fastighetschef Kommersiellt.png;2;3
FC;FC-3;Sara Bergström;Samhälle;3;Kommunala ärenden;0,6;D8;Specialist förskolor & offentliga kontrakt;#3D5A6B;#778899;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Fastighetschef Samhälle.png;3;2
FC;FC-4;Magnus Holm;Generalist;4;Brandalarm, El-fel;0,7;D10;Senior — klarar 4 projekt, bred kompetens;#3D5A6B;#778899;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Fastighetschef Generalist.png;4;1
FC;FC-5;Lena Karlsson;Kommersiellt;3;Hyresförhandling;0,8;D12;Stark på kontorsuthyrning och lokaler;#3D5A6B;#778899;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Fastighetschef Kommersiellt_2.png;5;8
FS;FS-1;Mikael Svensson;Bostäder;2;Hyresgästärenden;0,6;;Erfaren bostadsskötare;#3D5A6B;#778899;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Fastighetstekniker Bostäder.png;6;7
FS;FS-2;Petra Nilsson;Bostäder;2;Felanmälningar;0,2;;Junior men noggrann;#3D5A6B;#778899;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Fastighetstekniker Bostäder_2.png;7;6
FS;FS-3;Jonas Larsson;Kommersiellt;2;Lokalinspektioner;0,4;;Teknisk bakgrund;#3D5A6B;#778899;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Fastighetstekniker Kommersiellt.png;8;5
FS;FS-4;Maria Olsson;Kommersiellt;2;Kontorsstädning/skötsel;0,2;;Serviceinriktad;#3D5A6B;#778899;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Fastighetstekniker Kommersiellt2.png;9;12
FS;FS-5;Tobias Eriksson;Samhälle;1;Förskoletillsyn;0,1;;Specialiserad samhälle;#3D5A6B;#778899;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Fastighetstekniker Samhälle.png;10;11
FS;FS-6;Karin Persson;Teknisk;1;El, VVS, Brand;0,2;;Tekniker — bäst på akuta fel. Utlöser Energioptimering automatiskt.;#3D5A6B;#778899;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Fastighetstekniker Teknisk.png;11;10
FS;FS-7;Daniel Gustafsson;Generalist;1;—;0,1;;Junior generalist;#3D5A6B;#778899;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Fastighetstekniker Generalist.png;12;9
FS;FS-8;Cecilia Ström;Generalist;1;—;0,1;;Nyanställd, lägst kostnad;#3D5A6B;#778899;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Fastighetstekniker Generalist_2.png;13;16
;;;;;;;;;#3D5A6B;#778899;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Fastighetstekniker Generalist_2.png;14;15
;;;;;;;;;#3D5A6B;#778899;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Fastighetstekniker Generalist_2.png;15;14
;;;;;;;;;#3D5A6B;#778899;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Fastighetstekniker Generalist_2.png;16;13
